order_id,delivery_partner_id,delivery_time_min,delay_flag,city,is_crisis_period,delivery_time_min_clean,is_outlier_delivery
ORD00001,DP001,23.2,0,Mumbai,0,23.2,0
ORD00002,DP019,40.8,1,Mumbai,0,40.8,0
ORD00003,DP039,46.6,1,Bhopal,0,46.6,0
ORD00004,DP045,23.9,0,Bangalore,0,23.9,0
ORD00005,DP020,34.8,0,Bangalore,0,34.8,0
ORD00007,DP006,9.6,0,Surat,0,9.6,0
ORD00008,DP034,21.3,0,Delhi,0,21.3,0
ORD00009,DP018,29.4,0,Delhi,0,29.4,0
ORD00010,DP005,25.1,0,Surat,0,25.1,0
ORD00011,DP023,19.3,0,Bhopal,0,19.3,0
ORD00012,DP001,28.7,0,Vadodara,0,28.7,0
ORD00013,DP010,30.3,0,Indore,0,30.3,0
ORD00014,DP041,30.0,0,Coimbatore,0,30.0,0
ORD00015,DP045,31.8,0,Coimbatore,0,31.8,0
ORD00016,DP027,43.4,1,Surat,0,43.4,0
ORD00017,DP036,34.2,0,Surat,0,34.2,0
ORD00019,DP017,32.9,0,Indore,0,32.9,0
ORD00020,DP012,26.7,0,Mumbai,0,26.7,0
ORD00021,DP010,32.0,0,Surat,0,32.0,0
ORD00022,DP020,28.3,0,Bhopal,0,28.3,0
ORD00023,DP025,39.0,1,Indore,1,39.0,0
ORD00024,DP049,36.4,1,Bhopal,0,36.4,0
ORD00025,DP013,31.9,0,Delhi,0,31.9,0
ORD00026,DP019,19.4,0,Surat,0,19.4,0
ORD00027,DP004,17.1,0,Coimbatore,0,17.1,0
ORD00028,DP020,8.6,0,Bangalore,0,8.6,0
ORD00029,DP030,34.0,0,Bangalore,0,34.0,0
ORD00030,DP006,25.9,0,Vadodara,0,25.9,0
ORD00031,DP036,44.4,1,Vadodara,1,44.4,0
ORD00032,DP017,29.0,0,Bhopal,0,29.0,0
ORD00033,DP018,23.3,0,Delhi,0,23.3,0
ORD00034,DP020,25.9,0,Mumbai,0,25.9,0
ORD00035,DP017,21.1,0,Surat,0,21.1,0
ORD00036,DP033,33.2,0,Indore,0,33.2,0
ORD00037,DP047,52.5,1,Coimbatore,1,49.7,1
ORD00038,DP045,31.9,0,Mumbai,0,31.9,0
ORD00039,DP004,46.1,1,Mumbai,0,46.1,0
ORD00040,DP050,46.2,1,Bhopal,0,46.2,0
ORD00041,DP027,23.5,0,Bhopal,0,23.5,0
ORD00042,DP038,33.5,0,Indore,0,33.5,0
ORD00043,DP048,20.0,0,Mumbai,0,20.0,0
ORD00044,DP009,19.1,0,Mumbai,0,19.1,0
ORD00045,DP033,33.4,0,Mumbai,0,33.4,0
ORD00046,DP003,18.8,0,Delhi,0,18.8,0
ORD00047,DP025,15.9,0,Coimbatore,0,15.9,0
ORD00048,DP014,30.2,0,Coimbatore,0,30.2,0
ORD00049,DP037,30.3,0,Mumbai,0,30.3,0
ORD00051,DP008,26.2,0,Vadodara,0,26.2,0
ORD00053,DP050,28.2,0,Mumbai,0,28.2,0
ORD00054,DP001,25.5,0,Surat,0,25.5,0
ORD00055,DP018,30.4,0,Indore,0,30.4,0
ORD00056,DP021,23.1,0,Coimbatore,0,23.1,0
ORD00057,DP045,32.6,0,Indore,0,32.6,0
ORD00058,DP039,23.1,0,Bangalore,0,23.1,0
ORD00059,DP024,22.7,0,Vadodara,0,22.7,0
ORD00060,DP033,37.7,1,Bangalore,0,37.7,0
ORD00061,DP008,25.7,0,Surat,0,25.7,0
ORD00062,DP009,21.0,0,Bhopal,0,21.0,0
ORD00063,DP040,36.6,1,Delhi,0,36.6,0
ORD00064,DP003,21.5,0,Delhi,0,21.5,0
ORD00065,DP011,40.7,1,Surat,0,40.7,0
ORD00066,DP030,29.6,0,Bhopal,0,29.6,0
ORD00067,DP048,33.0,0,Delhi,0,33.0,0
ORD00068,DP032,24.5,0,Bangalore,0,24.5,0
ORD00069,DP017,25.2,0,Mumbai,0,25.2,0
ORD00070,DP020,21.7,0,Coimbatore,0,21.7,0
ORD00071,DP016,24.6,0,Bhopal,0,24.6,0
ORD00072,DP032,33.4,0,Surat,0,33.4,0
ORD00074,DP035,22.9,0,Bangalore,0,22.9,0
