order_id,user_id,restaurant_id,city,city_tier,order_time,order_value,discount_applied,status,is_crisis_period
ORD00001,U0022,R050,Mumbai,Tier-1,2024-03-03 19:01:00,288.79,58.1,delivered,False
ORD00002,U0461,R022,Mumbai,Tier-1,2024-03-10 16:32:00,259.84,55.35,delivered,False
ORD00003,U0108,R064,Bhopal,Tier-2,2024-03-07 20:46:00,363.97,0.0,delivered,False
ORD00004,U0449,R073,Bangalore,Tier-1,2024-03-28 09:31:00,223.89,0.0,delivered,False
ORD00005,U0405,R073,Bangalore,Tier-1,2024-02-15 18:26:00,272.86,0.0,delivered,False
ORD00006,U0090,R041,Coimbatore,Tier-2,2024-02-03 07:16:00,80.0,0.0,cancelled,False
ORD00007,U0377,R032,Surat,Tier-2,2024-03-12 13:50:00,222.33,39.37,delivered,False
ORD00008,U0020,R072,Delhi,Tier-1,2024-03-22 21:34:00,80.0,0.0,delivered,False
ORD00009,U0488,R080,Delhi,Tier-1,2024-03-11 07:45:00,156.28,0.0,delivered,False
ORD00010,U0229,R007,Surat,Tier-2,2024-01-12 12:51:00,633.46,0.0,delivered,False
ORD00011,U0158,R068,Bhopal,Tier-2,2024-01-10 18:59:00,138.63,23.13,delivered,False
ORD00012,U0314,R054,Vadodara,Tier-2,2024-03-01 20:18:00,200.03,33.13,delivered,False
ORD00013,U0481,R027,Indore,Tier-2,2024-03-14 13:48:00,218.2,0.0,delivered,False
ORD00014,U0148,R070,Coimbatore,Tier-2,2024-02-14 10:05:00,259.7,0.0,delivered,False
ORD00015,U0137,R058,Coimbatore,Tier-2,2024-01-02 17:56:00,276.74,0.0,delivered,False
ORD00016,U0337,R040,Surat,Tier-2,2024-02-10 22:41:00,425.81,74.68,delivered,False
ORD00017,U0468,R017,Surat,Tier-2,2024-02-12 14:04:00,160.93,0.0,delivered,False
ORD00018,U0129,R010,Mumbai,Tier-1,2024-03-08 19:05:00,213.54,26.96,cancelled,False
ORD00019,U0213,R047,Indore,Tier-2,2024-03-02 12:41:00,134.95,0.0,delivered,False
ORD00020,U0336,R010,Mumbai,Tier-1,2024-03-16 20:41:00,138.09,18.13,delivered,False
ORD00021,U0184,R007,Surat,Tier-2,2024-01-08 18:42:00,80.0,0.0,delivered,False
ORD00022,U0160,R057,Bhopal,Tier-2,2024-01-17 22:14:00,298.22,0.0,delivered,False
ORD00023,U0492,R051,Indore,Tier-2,2024-03-18 19:57:00,244.86,41.05,delivered,True
ORD00024,U0445,R097,Bhopal,Tier-2,2024-02-20 06:52:00,145.99,39.44,delivered,False
ORD00025,U0289,R024,Delhi,Tier-1,2024-01-11 23:33:00,382.74,0.0,delivered,False
ORD00026,U0454,R087,Surat,Tier-2,2024-01-22 21:09:00,220.17,0.0,delivered,False
ORD00027,U0066,R058,Coimbatore,Tier-2,2024-01-18 14:47:00,137.12,0.0,delivered,False
ORD00028,U0444,R031,Bangalore,Tier-1,2024-02-02 14:50:00,314.62,47.74,delivered,False
ORD00029,U0366,R089,Bangalore,Tier-1,2024-01-06 06:39:00,175.68,0.0,delivered,False
ORD00030,U0447,R028,Vadodara,Tier-2,2024-01-26 08:02:00,99.14,0.0,delivered,False
ORD00031,U0227,R100,Vadodara,Tier-2,2024-03-26 13:22:00,361.14,0.0,delivered,True
ORD00032,U0268,R066,Bhopal,Tier-2,2024-01-18 09:59:00,155.14,0.0,delivered,False
ORD00033,U0072,R024,Delhi,Tier-1,2024-02-06 18:14:00,115.75,0.0,delivered,False
ORD00034,U0263,R001,Mumbai,Tier-1,2024-01-12 21:02:00,211.24,42.55,delivered,False
ORD00035,U0008,R056,Surat,Tier-2,2024-02-29 18:42:00,136.09,0.0,delivered,False
ORD00036,U0021,R030,Indore,Tier-2,2024-03-02 18:03:00,334.98,0.0,delivered,False
ORD00037,U0025,R095,Coimbatore,Tier-2,2024-03-29 16:24:00,158.25,0.0,delivered,True
ORD00038,U0477,R042,Mumbai,Tier-1,2024-03-23 20:49:00,113.78,0.0,delivered,False
ORD00039,U0450,R081,Mumbai,Tier-1,2024-02-14 18:08:00,359.12,0.0,delivered,False
ORD00040,U0277,R097,Bhopal,Tier-2,2024-03-04 20:32:00,198.29,33.63,delivered,False
ORD00041,U0338,R097,Bhopal,Tier-2,2024-02-03 18:22:00,313.95,0.0,delivered,False
ORD00042,U0347,R075,Indore,Tier-2,2024-02-26 07:15:00,164.97,0.0,delivered,False
ORD00043,U0423,R005,Mumbai,Tier-1,2024-01-22 21:59:00,296.05,50.94,delivered,False
